Name,Playing Role,Reserve Price (in ₹ Lacs),IPL 2018 Team,Auctioned Price (in ₹ Lacs)
Shikhar Dhawan,Batsman,200,Sunrisers Hyderabad[RTM],520
Ravichandran Ashwin,All-Rounder,200,Kings XI Punjab,760
Kieron Pollard,All-Rounder,200,Mumbai Indians[RTM],540
Ben Stokes,All-Rounder,200,Rajasthan Royals,1250
Faf du Plessis,Batsman,150,Chennai Super Kings[RTM],160
Ajinkya Rahane,Batsman,200,Rajasthan Royals[RTM],400
Mitchell Starc,Bowler,200,Kolkata Knight Riders,940
Harbhajan Singh,Bowler,200,Chennai Super Kings,200
Shakib Al Hasan,All-Rounder,100,Sunrisers Hyderabad,200
Glenn Maxwell,All-Rounder,200,Delhi Daredevils,900
Gautam Gambhir,Batsman,200,Delhi Daredevils,280
Dwayne Bravo,All-Rounder,200,Chennai Super Kings[RTM],640
Kane Williamson,Batsman,150,Sunrisers Hyderabad,300
Yuvraj Singh,All-Rounder,200,Kings XI Punjab,200
Karun Nair,Batsman,50,Kings XI Punjab,560
KL Rahul,Batsman,200,Kings XI Punjab,1100
David Miller,Batsman,150,Kings XI Punjab[RTM],300
Aaron Finch,Batsman,150,Kings XI Punjab,620
Brendon McCullum,Batsman,200,Royal Challengers Bangalore,360
Jason Roy,Batsman,150,Delhi Daredevils,150
Chris Lynn,Batsman,200,Kolkata Knight Riders,960
Manish Pandey,Batsman,100,Sunrisers Hyderabad,1100
Chris Woakes,All-Rounder,200,Royal Challengers Bangalore,740
Carlos Brathwaite,All-Rounder,100,Sunrisers Hyderabad,200
Shane Watson,All-Rounder,100,Chennai Super Kings,400
Kedar Jadhav,All-Rounder,200,Chennai Super Kings,780
Colin de Grandhomme,All-Rounder,75,Royal Challengers Bangalore,220
Yusuf Pathan,All-Rounder,75,Sunrisers Hyderabad,190
Colin Munro,All-Rounder,50,Delhi Daredevils,190
Stuart Binny,All-Rounder,50,Rajasthan Royals,50
Marcus Stoinis,All-Rounder,200,Kings XI Punjab[RTM],620
Moeen Ali,All-Rounder,150,Royal Challengers Bangalore,170
Quinton de Kock,Wicketkeeper,200,Royal Challengers Bangalore,280
Wriddhiman Saha,Wicketkeeper,100,Sunrisers Hyderabad,500
Dinesh Karthik,Wicketkeeper,200,Kolkata Knight Riders,740
Robin Uthappa,Wicketkeeper,200,Kolkata Knight Riders [RTM],640
Sanju Samson,Wicketkeeper,100,Rajasthan Royals,800
Ambati Rayudu,Wicketkeeper,50,Chennai Super Kings,220
Jos Buttler,Wicketkeeper,150,Rajasthan Royals,440
Mustafizur Rahman,Bowler,100,Mumbai Indians,220
Pat Cummins,Bowler,200,Mumbai Indians,540
Umesh Yadav,Bowler,100,Royal Challengers Bangalore,420
Mohammed Shami,Bowler,100,Delhi Daredevils[RTM],300
Kagiso Rabada,Bowler,150,Delhi Daredevils[RTM],420
Piyush Chawla,Bowler,100,Kolkata Knight Riders [RTM],420
Imran Tahir,Bowler,100,Chennai Super Kings,100
Karn Sharma,Bowler,200,Chennai Super Kings,500
Rashid Khan,Bowler,200,Sunrisers Hyderabad[RTM],900
Amit Mishra,Bowler,150,Delhi Daredevils,400
Yuzvendra Chahal,Bowler,200,Royal Challengers Bangalore [RTM],600
Kuldeep Yadav,Bowler,150,Kolkata Knight Riders [RTM],580
Suryakumar Yadav,Batsman,30,Mumbai Indians,320
Shubman Gill,Batsman,20,Kolkata Knight Riders,180
Ishank Jaggi,Batsman,20,Kolkata Knight Riders,20
Ricky Bhui,Batsman,20,Sunrisers Hyderabad,20
Mayank Agarwal,Batsman,20,Kings XI Punjab,100
Rahul Tripathi,Batsman,20,Rajasthan Royals,340
Manan Vohra,Batsman,20,Royal Challengers Bangalore,110
Prithvi Shaw,Batsman,20,Delhi Daredevils,120
Rahul Tewatia,All-Rounder,20,Delhi Daredevils,300
Deepak Hooda,All-Rounder,40,Sunrisers Hyderabad[RTM],360
